id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,total_general
309,8,BENI,80402,EXALTACION,19,,8,,27
310,8,BENI,80501,SAN IGNACIO,375,6,99,,480
311,8,BENI,80601,LORETO,8,,20,,28
312,8,BENI,80602,SAN ANDRES,88,1,23,,112
313,8,BENI,80701,SAN JOAQUIN,144,2,1,,147
314,8,BENI,80702,SAN RAMON BENI,111,1,,,112
315,8,BENI,80703,PUERTO SILES,15,,1,,16
316,8,BENI,80801,MAGDALENA,244,5,51,,300
317,8,BENI,80802,BAURES,85,1,10,,96
318,8,BENI,80803,HUARACAJE,81,,,,81
319,9,PANDO,90101,COBIJA,1787,22,33,,1842
320,9,PANDO,90102,PORVENIR,47,,13,1,61
321,9,PANDO,90103,BOLPEBRA,,,5,,5
322,9,PANDO,90104,BELLA FLOR,10,,7,,17
323,9,PANDO,90201,PUERTO RICO,122,2,20,,144
324,9,PANDO,90202,SAN PEDRO(PND),3,,4,,7
325,9,PANDO,90203,FILADELFIA,17,,39,2,58
326,9,PANDO,90301,PUERTO GONZALO MORENO,58,1,39,,98
327,9,PANDO,90302,SAN LORENZO(PND),79,3,23,1,106
328,9,PANDO,90303,SENA,61,1,24,,86
329,9,PANDO,90401,NACEBE (SANTA ROSA DEL ABUNA),11,,7,,18
330,9,PANDO,90402,INGAVI (HUMAITA),13,1,8,,22
331,9,PANDO,90501,NUEVO MANOA (NUEVA ESPERANZA),,,8,1,9
332,9,PANDO,90502,VILLA NUEVA (LOMA ALTA),1,,18,,19
333,9,PANDO,90503,EUREKA (SANTOS MERCADO),,,19,,19
