id,cod_dep,departamento,cod_mun,municipio,mujeres_con_4ta_consulta_ prenatal,cobertura
212,5,POTOSI,50501,SAN PEDRO DE BUENA VISTA,315,"0,345989261"
213,5,POTOSI,50502,TORO TORO,152,"0,488976922"
214,5,POTOSI,50601,COTAGAITA,345,"0,555710694"
215,5,POTOSI,50602,VITICHI,134,"0,521247308"
216,5,POTOSI,50701,SACACA,256,"0,4071448"
217,5,POTOSI,50702,CARIPUYO,154,"0,566626954"
218,5,POTOSI,50801,TUPIZA,960,"0,867223476"
219,5,POTOSI,50802,ATOCHA,212,"0,986301069"
220,5,POTOSI,50901,"COLCHA ""K""",187,"0,55395149"
221,5,POTOSI,50902,SAN PEDRO DE QUEMES,11,"0,38444272"
222,5,POTOSI,51001,SAN PABLO DE LIPEZ,44,"0,572656238"
223,5,POTOSI,51002,MOJINETE,9,"0,459489064"
224,5,POTOSI,51003,SAN ANTONIO DE ESMORUCO,25,"0,370447414"
225,5,POTOSI,51101,PUNA,273,"0,410013468"
226,5,POTOSI,51102,"CAIZA ""D""",143,"0,558212559"
227,5,POTOSI,51103,CKOCHAS,202,"0,415018697"
228,5,POTOSI,51201,UYUNI,575,"1,050669671"
229,5,POTOSI,51202,TOMAVE,147,"0,372531295"
230,5,POTOSI,51203,PORCO,221,"1,20668042"
231,5,POTOSI,51301,ARAMPAMPA,49,"1,398800159"
232,5,POTOSI,51302,ACACIO,57,"1,346611396"
233,5,POTOSI,51401,LLICA,63,"0,217772951"
234,5,POTOSI,51402,TAHUA,19,"0,067402331"
235,5,POTOSI,51501,VILLAZON,740,"0,559244782"
236,5,POTOSI,51601,SAN AGUSTIN,20,"0,310759484"
237,6,TARIJA,60101,TARIJA,4230,"0,696543578"
238,6,TARIJA,60201,PADCAYA,269,"0,543884489"
239,6,TARIJA,60202,BERMEJO,759,"0,78601342"
240,6,TARIJA,60301,YACUIBA,2052,"0,56106266"
241,6,TARIJA,60302,CARAPARI,214,"1,001926476"
242,6,TARIJA,60303,VILLA MONTES,861,"1,253459935"
243,6,TARIJA,60401,URIONDO (A. CONCEPCION),261,"0,891513133"
244,6,TARIJA,60402,YUNCHARA,76,"0,610070609"
245,6,TARIJA,60501,SAN LORENZO(TJA),259,"0,48355117"
246,6,TARIJA,60502,EL PUENTE(TJA),155,"0,670962489"
247,6,TARIJA,60601,ENTRE RIOS  TRJ,324,"0,818909922"
248,7,SANTA CRUZ,70101,SANTA CRUZ DE LA SIERRA,21482,"0,405840308"
249,7,SANTA CRUZ,70102,COTOCA,1068,"0,622893611"
250,7,SANTA CRUZ,70103,PORONGO,153,"0,407314221"
251,7,SANTA CRUZ,70104,LA GUARDIA,1198,"0,595448611"
252,7,SANTA CRUZ,70105,EL TORNO,1188,"0,696620105"
253,7,SANTA CRUZ,70201,WARNES,1794,"1,324550069"
254,7,SANTA CRUZ,70202,OKINAWA,302,"0,805456339"
255,7,SANTA CRUZ,70301,SAN IGNACIO DE VELASCO,785,"0,658108707"
256,7,SANTA CRUZ,70302,SAN MIGUEL DE VELASCO,202,"0,759222557"
257,7,SANTA CRUZ,70303,SAN RAFAEL,91,"0,535440232"
258,7,SANTA CRUZ,70401,BUENA VISTA,146,"0,418838052"
259,7,SANTA CRUZ,70402,SAN CARLOS,436,"0,898611174"
260,7,SANTA CRUZ,70403,YAPACANI,911,"0,870404284"
261,7,SANTA CRUZ,70404,SAN JUAN DE YAPACANI,118,"0,43952702"
262,7,SANTA CRUZ,70501,SAN JOSE DE CHIQUITOS,238,"0,652677212"
263,7,SANTA CRUZ,70502,PAILON,366,"0,299949779"
264,7,SANTA CRUZ,70503,ROBORE,209,"0,741888965"
265,7,SANTA CRUZ,70601,PORTACHUELO,386,"0,917974296"
266,7,SANTA CRUZ,70602,SANTA ROSA DEL SARA,224,"0,482563227"
267,7,SANTA CRUZ,70603,COLPA BELGICA,116,"0,721575132"
268,7,SANTA CRUZ,70701,LAGUNILLAS,71,"0,507580123"
269,7,SANTA CRUZ,70702,CHARAGUA,573,"0,850168997"
270,7,SANTA CRUZ,70703,CABEZAS,464,"0,806052941"
271,7,SANTA CRUZ,70704,CUEVO,27,"0,33089991"
272,7,SANTA CRUZ,70705,GUTIERREZ,162,"0,534304801"
273,7,SANTA CRUZ,70706,CAMIRI,660,"0,855558652"
274,7,SANTA CRUZ,70707,BOYUIBE,41,"0,43394092"
275,7,SANTA CRUZ,70801,VALLEGRANDE,254,"0,622666461"
276,7,SANTA CRUZ,70802,TRIGAL,21,"0,308174133"
277,7,SANTA CRUZ,70803,MORO MORO,26,"0,42058156"
278,7,SANTA CRUZ,70804,POSTRER VALLE,13,"0,188618995"
279,7,SANTA CRUZ,70805,PUCARA,14,"0,268644858"
280,7,SANTA CRUZ,70901,SAMAIPATA,128,"0,52997374"
281,7,SANTA CRUZ,70902,PAMPA GRANDE,116,"0,495525003"
282,7,SANTA CRUZ,70903,MAIRANA,169,"0,795720385"
283,7,SANTA CRUZ,70904,QUIRUSILLAS,26,"0,449660586"
284,7,SANTA CRUZ,71001,MONTERO,2211,"0,802190805"
285,7,SANTA CRUZ,71002,GENERAL SAAVEDRA,280,"0,50925231"
286,7,SANTA CRUZ,71003,MINEROS,370,"0,61763806"
287,7,SANTA CRUZ,71004,FERNANDEZ ALONSO,296,"0,862986531"
288,7,SANTA CRUZ,71005,SAN PEDRO,290,"0,656060049"
289,7,SANTA CRUZ,71101,CONCEPCION,328,"0,710075027"
290,7,SANTA CRUZ,71102,SAN JAVIER(STC),284,"0,783766108"
291,7,SANTA CRUZ,71103,SAN RAMON SCZ,181,"0,975253732"
292,7,SANTA CRUZ,71104,SAN JULIAN,894,"0,741055468"
293,7,SANTA CRUZ,71105,SAN ANTONIO DE LOMERIO,66,"0,327209751"
