,departamento,municipio,establecimiento,direccion
434,POTOSI,TOMAVE,TACORA,TACORA
435,POTOSI,TOMAVE,TARANA,MUNICIPIO TOMAVE
436,POTOSI,TOMAVE,TATUCA,Tatuca
437,POTOSI,TOMAVE,TAURO,Tauro
439,POTOSI,TOMAVE,TICA TICA,Tica Tica
440,POTOSI,TOMAVE,TOLAPAMPA,Tolapampa
425,POTOSI,TOMAVE,TOMAVE,Tomave
441,POTOSI,TOMAVE,"TOTORA ""K""",TOTORA K
442,POTOSI,TOMAVE,VILUYO,VILUYO TOMAVE
443,POTOSI,TORO TORO,ANAHUANI,Sin registro
444,POTOSI,TORO TORO,CARASI,carasi
445,POTOSI,TORO TORO,JULO GRANDE,comunidad Julo grande
446,POTOSI,TORO TORO,PALLA PALLA,PALLA PALLA
447,POTOSI,TORO TORO,POCOSUCO,POCOSUCO
448,POTOSI,TORO TORO,SUCUSUMA,RIO CAINE  - SUCUSUMA
449,POTOSI,TORO TORO,TAMBO KASA,Sin registro
450,POTOSI,TORO TORO,TORO TORO,CALLE CHARCAS  S/N
451,POTOSI,TORO TORO,YAMBATA,Yambata
