,departamento,municipio,establecimiento,direccion
197,SANTA CRUZ,LAGUNILLAS,IVIYECA,comunidad iviyeca
198,SANTA CRUZ,LAGUNILLAS,POTRERILLOS,comunidad Potrerillos
199,SANTA CRUZ,LAGUNILLAS,PUEBLO NUEVO,comunidad Pueblo Nuevo
200,SANTA CRUZ,LAGUNILLAS,SAN ISIDRO,Ipati
201,SANTA CRUZ,LAGUNILLAS,SAN LUIS (LAGUNILLAS),Calle Warnes S/N
202,SANTA CRUZ,MAIRANA,MAIRANA,CALLE ANTOFAGASTA S/N
203,SANTA CRUZ,MAIRANA,MENDIOLA,PLAZA MENDIOLA
204,SANTA CRUZ,MAIRANA,PIEDRA MESA,PIEDRA MESA
205,SANTA CRUZ,MAIRANA,YERBA BUENA,Urbanizacion Sejas S/N
206,SANTA CRUZ,MINEROS,ALIANZA,CARRETERA A CHANE CALLE BOLIVAR
207,SANTA CRUZ,MINEROS,LA PORFIA,FRENTE A LA PLAZA LADO DEL COLEGIO
208,SANTA CRUZ,MINEROS,LITORAL MAROTAS,AL LADO DEL TANQUE DE AGUA
209,SANTA CRUZ,MINEROS,MARIO DAZA CRONENBOLD,BARRIO ORIENTAL AVENIDA JOSE GRIBBS
210,SANTA CRUZ,MINEROS,PUEBLO NUEVO,FRENTE A LA PLAZA PRINCIPAL LADO NORTE
211,SANTA CRUZ,MINEROS,SAN LORENZO,AL LADO DEL COLEGIO
212,SANTA CRUZ,MONTERO,DIVINO NINNO,AVENIDA CANAVERAL BARRIO AGUAHI DISTRITO N°5
213,SANTA CRUZ,MONTERO,DR. VICTOR HUGO CASSAL BARBA,BARRIO 21 DE SEPTIEMBRE AVENIDA MANDIORENDA
214,SANTA CRUZ,MONTERO,ERNESTO CHE GUEVARA,CALLE MARAYAU ESQUINA GUAPURU
216,SANTA CRUZ,MONTERO,LA SAGRADA FAMILIA,ENERO
218,SANTA CRUZ,MONTERO,NAICO,COMUNIDAD NAICO DISTRITO 6 MUNICIPIO MONTERO
220,SANTA CRUZ,MONTERO,NARANJAL DON BOSCO,COMUNIDAD NARANJAL DON BOSCO BARRIO PAICHANETU
222,SANTA CRUZ,MONTERO,VILLA COPACABANA,COPACABANA
223,SANTA CRUZ,MORO MORO,LA LAJA,EDITH VEGA QUISPE
224,SANTA CRUZ,MORO MORO,SATIAGO DE MORO,CALLE 4 DE MAYO
225,SANTA CRUZ,OKINAWA,NUEVO HORIZONTE,NUEVO HORIZONTE
226,SANTA CRUZ,OKINAWA,R.P.M.G. OKINAWA,CALLE 15 DE AGOSTO - OKINAWA UNO
227,SANTA CRUZ,OKINAWA,SAN MIGUEL,SAN MIGUEL-OKINAWA UNO
229,SANTA CRUZ,PAILON,25 DE MAYO,"a lado del colegio, sobre la plaza principal"
230,SANTA CRUZ,PAILON,CANHADA LARGA,DIAGONAL FERROVIARIA- DETRAS DEL COLEGIO
231,SANTA CRUZ,PAILON,CERRO,ALADO DEL COLEGIO
232,SANTA CRUZ,PAILON,PAILON,B. Residencial Norte - Mz 48
234,SANTA CRUZ,PAILON,POZO DEL TIGRE,CUADRA DE LA PLAZA
235,SANTA CRUZ,PAILON,ROSAL CENTRO,ALADO DEL COLEGIO PRINCIPAL
236,SANTA CRUZ,PAILON,TINTO,"FRENTE AL TRILLO, A LADO DE LA IGLESIA"
238,SANTA CRUZ,PAILON,TRES CRUCES,NUEVO
239,SANTA CRUZ,PAMPA GRANDE,LOS NEGROS,carretera antigua santa cruz-cochabamba km. 175
