,departamento,municipio,establecimiento,direccion
254,CHUQUISACA,SUCRE,IMILLA HUANUSCA,Comunidad Imilla Hua?sca
255,CHUQUISACA,SUCRE,INSALDE,Estadium Patria Puerta 22
256,CHUQUISACA,SUCRE,ITS-SIDA,Ayacucho N? 351
257,CHUQUISACA,SUCRE,KHOCHIS,KHOCHIS
258,CHUQUISACA,SUCRE,KORA KORA GUADALUPE,Kora-Kora Guadalupe
259,CHUQUISACA,SUCRE,LA  AMISTAD (M),Sin registro
260,CHUQUISACA,SUCRE,LA  HOYADA (M),Calle Betanzos s/n
261,CHUQUISACA,SUCRE,LA BARRANCA,BARRANCA
262,CHUQUISACA,SUCRE,LA FLORIDA (M),Dtto. Chuquisaca 171
263,CHUQUISACA,SUCRE,LA PALMA,Comunidad de Mojotoro
264,CHUQUISACA,SUCRE,LITORAL (M),Sin registro
265,CHUQUISACA,SUCRE,LOS ANGELES (M),Barrio Los Angeles
266,CHUQUISACA,SUCRE,LUIS ESPINAL,BARRIO LUIS ESPINAL
267,CHUQUISACA,SUCRE,MARAGUA (CHQ),MARAGUACHQ
268,CHUQUISACA,SUCRE,MAX TOLEDO (M),miraflores   n? 80
271,CHUQUISACA,SUCRE,MERCADO CAMPESINO,CAMPESINO
273,CHUQUISACA,SUCRE,MERCADO CENTRAL,Aniceto Arce
275,CHUQUISACA,SUCRE,MERCADO MINORISTA,CAMPOS
276,CHUQUISACA,SUCRE,MORRO MUNICIPAL,GASPAR DE LAS CUEVAS S/N
277,CHUQUISACA,SUCRE,NORIA  ALTA (M),Sin registro
278,CHUQUISACA,SUCRE,P. BUSTILLOS (M),Republica Dominicana Esq. JP Bustillos
279,CHUQUISACA,SUCRE,PATACON,avenida rosedal s/n
280,CHUQUISACA,SUCRE,PLANTA DIESEL,BARRIO BUENOS  AIRES
281,CHUQUISACA,SUCRE,PLATAFORMA DE CHAGAS,AVENIDA JAPON # 14
282,CHUQUISACA,SUCRE,POCONAS,AVDA. JAIME MENDOZA ESQ. MEJILLONES
283,CHUQUISACA,SUCRE,PUEBLO NUEVO (M),Lechugillas Pueblo Nuevo
284,CHUQUISACA,SUCRE,PUNILLA,PUNILLA
