id;cod_depto;departamento;cod_mun;municipio;ce_menores_de_5_años;ce_mayores_de_5_años;ce_total_general;promedio_menor_de_5_años;promedio_mayor_de_5_años;promedio_general
184;4;ORURO;40801;SALINAS DE GARCI MENDOZA;5100;9810;14910;3,403395841;0,882237142;1,181648767
185;4;ORURO;40802;PAMPA AULLAGAS;1073;1833;2906;2,6458284;0,665841566;0,920071204
186;4;ORURO;40901;SABAYA;1069;5963;7032;0,901162229;0,813471769;0,825685915
187;4;ORURO;40902;COIPASA;655;1023;1678;5,387133282;1,22104564;1,749023427
188;4;ORURO;40903;CHIPAYA;619;1211;1830;2,213972251;0,655558928;0,860420678
189;4;ORURO;41001;TOLEDO;1503;3924;5427;1,367250105;0,405395758;0,503492199
190;4;ORURO;41101;EUCALIPTUS;1780;4506;6286;2,901133137;0,904874154;1,123854376
191;4;ORURO;41201;ANDAMARCA;1423;3731;5154;2,740429167;0,743240125;0,930463689
192;4;ORURO;41202;BELEN DE ANDAMARCA;582;1951;2533;2,372909589;1,028924074;1,182857779
193;4;ORURO;41301;TOTORA(ORR);2047;3792;5839;3,13871206;0,726101758;0,993942238
194;4;ORURO;41401;SANTIAGO DE HUARI;4293;13928;18221;2,653156425;1,059157528;1,233804092
195;4;ORURO;41501;LA RIVERA;146;660;806;1,88017903;1,426116944;1,491357179
196;4;ORURO;41502;TODOS SANTOS;112;440;552;1,160323317;0,650692488;0,714352736
197;4;ORURO;41503;CARANGAS;68;365;433;0,544553278;0,475893597;0,485507017
198;4;ORURO;41601;HUAYLLAMARCA;1297;5134;6431;2,574807804;0,960973451;1,100025854
199;5;POTOSI;50101;POTOSI;106285;352005;458290;4,115758577;1,986300564;2,257138145
200;5;POTOSI;50102;TINGUIPAYA;8816;9223;18039;2,198204232;0,370605718;0,624255268
201;5;POTOSI;50103;YOCALLA;3182;7521;10703;3,583325471;0,869612344;1,122297947
202;5;POTOSI;50104;BELEN DE URMIRI;607;1233;1840;1,874916584;0,472435993;0,627210343
203;5;POTOSI;50201;UNCIA;9162;18160;27322;3,40329327;0,877706887;1,168486854
204;5;POTOSI;50202;CHAYANTA;5771;11902;17673;2,63044861;0,797188905;1,032067241
205;5;POTOSI;50203;LLALLAGUA;21007;34678;55685;3,890044242;0,907207945;1,276442031
206;5;POTOSI;50204;CHUQUIHUTA AYLLU JUCUMANI;2892;3481;6373;2,302580603;0,479268387;0,748080568
207;5;POTOSI;50301;BETANZOS;12504;32065;44569;3,16095028;1,000127974;1,237454785
